candidate_id,candidate_name,source_group,C1_solar_resource,C2_water_reliability,C3_stable_water_ratio,C4_terrain_slope,C5_protected_area_conflict,C6_power_infrastructure_proximity,context_large_power_infrastructure,equal_weight_preview_not_final,mcda_input_status,true_grid_distance_status,notes
IDN_HYLAK_016001,Unnamed HydroLAKES 16001,HydroLAKES expansion,0.757138,0.506246,0.409098,0.91711,1.0,0.948945,0.84448,0.756423,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015971,Unnamed HydroLAKES 15971,HydroLAKES expansion,0.777379,0.779072,0.894614,0.555782,1.0,0.49714,0.346178,0.750665,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_001587,Semajang,HydroLAKES expansion,0.755295,0.234475,0.492011,1.0,1.0,0.948725,0.79554,0.738418,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_001606,Danau Paniai,HydroLAKES expansion,0.629372,0.874109,0.891553,0.71947,0.999982,0.259378,0.221392,0.728977,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016014,Unnamed HydroLAKES 16014,HydroLAKES expansion,0.685775,0.717927,0.703794,0.906615,1.0,0.356057,0.29472,0.728361,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015988,Unnamed HydroLAKES 15988,HydroLAKES expansion,0.796185,0.468199,0.587094,0.941593,1.0,0.549034,0.400158,0.723684,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015999,Danau Sentani,HydroLAKES expansion,0.811369,0.916704,0.876844,0.728587,1.0,0.0,0.0,0.722251,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015947,Melintang,HydroLAKES expansion,0.75735,0.146853,0.403443,0.994178,1.0,0.941948,0.801004,0.707295,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016045,Unnamed HydroLAKES 16045,HydroLAKES expansion,0.481381,0.398154,0.369339,0.984668,1.0,0.993019,0.995007,0.704427,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016044,Unnamed HydroLAKES 16044,HydroLAKES expansion,0.509507,0.367423,0.3646,0.983826,1.0,0.995081,0.996482,0.703406,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016020,Unnamed HydroLAKES 16020,HydroLAKES expansion,0.629601,0.814305,0.94463,0.481812,0.999857,0.25745,0.22157,0.687943,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015931,Unnamed HydroLAKES 15931,HydroLAKES expansion,0.313452,0.402264,0.533462,0.83461,1.0,0.999396,0.999568,0.680531,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016048,Unnamed HydroLAKES 16048,HydroLAKES expansion,0.0,0.423805,0.652321,0.991465,1.0,0.979735,0.985506,0.674554,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016063,Unnamed HydroLAKES 16063,HydroLAKES expansion,0.720776,0.290688,0.0,0.982041,1.0,0.997976,0.997327,0.665247,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016016,Unnamed HydroLAKES 16016,HydroLAKES expansion,0.722075,0.634521,0.707953,0.510955,1.0,0.397809,0.332427,0.662219,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016046,Unnamed HydroLAKES 16046,HydroLAKES expansion,0.333364,0.172869,0.427,0.979726,1.0,0.984457,0.988884,0.649569,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_015935,Unnamed HydroLAKES 15935,HydroLAKES expansion,0.75518,0.07991,0.218282,0.930914,1.0,0.736579,0.723556,0.620144,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
IDN_HYLAK_016025,Unnamed HydroLAKES 16025,HydroLAKES expansion,0.633908,0.585375,0.335046,0.823764,1.0,0.258222,0.224553,0.606052,READY_FOR_MCDA_BATCH_8,PENDING_TRANSMISSION_OR_SUBSTATION_LAYER,Final normalized criteria matrix for Batch 8/10 MCDA. Equal-weight preview is not final ranking.
